Product code,Language,Vendor,Product id,Product URL,Product name,Image URL,Quantity,Price,Category,Description
"EIC1442","en","East India Cases","45","http://www.threadcrafts.in/accessories/mobile-cases-covers/iron-man-head-pro-i6s/","Iron Man Head - iPhone 6s / 6","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6-BK3IN-1442.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4501","en","East India Cases","47","http://www.threadcrafts.in/accessories/mobile-cases-covers/manchester-united-pro-i6sp/","Manchester United - iPhone 6s Plus / 6 Plus","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6SP-EIC3IN-4501.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC841","en","East India Cases","48","http://www.threadcrafts.in/accessories/mobile-cases-covers/look-into-my-eyes-pro-i6sp/","Look into My Eyes - iPhone 6s Plus / 6 Plus","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6P-BK3IN-841.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC610","en","East India Cases","49","http://www.threadcrafts.in/accessories/mobile-cases-covers/stuart-minion-pro-sga5/","Stuart Minion - Galaxy A5","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GA5-BK3IN-610.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC659","en","East India Cases","50","http://www.threadcrafts.in/accessories/mobile-cases-covers/scooby-doo-bee-doo-pro-sga5/","Scooby-Doo Bee Doo - Galaxy A5","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GA5-BK3IN-659.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC3011","en","East India Cases","51","http://www.threadcrafts.in/accessories/mobile-cases-covers/the-flash-pro-sga5/","The Flash - Galaxy A5","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GA5-EIC3IN-3011.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC5008","en","East India Cases","52","http://www.threadcrafts.in/accessories/mobile-cases-covers/adventure-awaits-pro-sga7/","Adventure Awaits - Galaxy A7","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GA7-EIC3IN-5008.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4501","en","East India Cases","53","http://www.threadcrafts.in/accessories/mobile-cases-covers/manchester-united-pro-sga7/","Manchester United - Galaxy A7","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GA7-EIC3IN-4501.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC3026","en","East India Cases","54","http://www.threadcrafts.in/accessories/mobile-cases-covers/batman-portrait-pro-sga7/","Batman Portrait - Galaxy A7","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GA7-EIC3IN-3026.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC3029","en","East India Cases","55","http://www.threadcrafts.in/accessories/mobile-cases-covers/batman-superman-silhouette-pro-sga8/","Batman Superman Silhouette - Galaxy A8","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GA8-EIC3IN-3029.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC757","en","East India Cases","56","http://www.threadcrafts.in/accessories/mobile-cases-covers/abstract-paints-pro-sge7/","Abstract Paints - Galaxy E7","http://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/GE7-BK3IN-757.jpg","1","449.00","Accessories///Mobile cases/covers","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing prices you can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variant </strong>- Molded with premium Polycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
