Product code,Language,Vendor,Product URL,Product name,Image URL,Price,Category,Description
"EIC4040","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/ghost-and-raven/","Ghost and Raven","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4040.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4041","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/daenerys-targaryen-stormborn/","Daenerys Targaryen Stormborn","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4041.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4042","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/castle-black-the-wall/","Castle Black (The Wall)","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4042.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4043","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/meereen/","Meereen","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4043.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4044","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/braavos/","Braavos","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4044.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4045","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/oberyn-martell-is-my-champion/","Oberyn Martell Is My Champion","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4045.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4046","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/tyrion-arya-head/","Tyrion Arya Head","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4046.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4047","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/heart-tree/","Heart Tree","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4047.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4501","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/manchester-united/","Manchester United","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4501.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
"EIC4511","en","East India Cases","https://www.threadcrafts.in/accessories/mobile-cases-and-covers/iphone/iphone-6-6s-6s-plus/cristiano-ronaldo/","Cristiano Ronaldo","https://www.threadcrafts.in/images/thumbnails/280/280/detailed/2/I6S-EIC3IN-4511.jpg","449.00","Accessories///Mobile cases & covers///iPhone///iPhone 6/6S/6S Plus","<p><span>At East India Cases our products are crafted with utmost attention to quality and finishing. We believe in 100% satisfaction and perfection. With an aim to provide our customers with best designs at amazing pricesæyou can always find just what you need Right Here!</span></p><p><strong><em>MPro</em> Variantæ</strong>- Molded with premiumæPolycarbonates these cases sport a Matte Finish that make them look """"SOOOOO VOGUE!""""</p><p>So what are you waiting for? Grab the designs that describe you best!</p>"
